url;Jumlah Data
http://lpse.hulusungaiselatankab.go.id/eproc4;2,154
http://lpse.hulusungaitengahkab.go.id/eproc4;1,91
http://lpse.hsu.go.id/eproc4;1,448
http://lpse.humbanghasundutankab.go.id/eproc4;1,293
http://lpse.inhilkab.go.id/eproc4;1,811
http://lpse.inhukab.go.id/eproc4;2,487
http://lpse.indramayukab.go.id/eproc4;4,071
http://103.100.247.141/eproc4;929
https://lpse.jayapurakab.go.id/eproc4;1,064
https://lpse.jayawijayakab.go.id/eproc4;80
http://lpse.jemberkab.go.id/eproc4;3,662
https://lpse.jembranakab.go.id/eproc4;1,119
https://lpse.jenepontokab.go.id/eproc4;
https://lpse.jepara.go.id/eproc4;2,75
http://lpse.jombangkab.go.id/eproc4;2,682
http://lpse.kaimanakab.go.id/eproc4;298
https://lpse.kamparkab.go.id/eproc4;3,188
http://lpse.kapuaskab.go.id/eproc4;2,557
http://lpse.kapuashulukab.go.id/eproc4;2,053
http://lpse.karanganyarkab.go.id/eproc4;2,114
http://lpse.karangasemkab.go.id/eproc4;1,155
https://lpse.karawangkab.go.id/eproc4;1,47
http://lpsetbk.karimunkab.go.id/eproc4;816
http://lpse.karokab.go.id/eproc4;2,925
http://lpse.katingankab.go.id/eproc4;2,419
https://lpse.kaurkab.go.id/eproc4;1,594
http://lpse.kayongutarakab.go.id/eproc4;1,439
https://lpse.kebumenkab.go.id/eproc4;2,489
http://lpse.kedirikab.go.id/eproc4;1,877
http://lpse.keeromkab.go.id/eproc4;585
https://lpse.kendalkab.go.id/eproc4;2,535
http://lpse.kepahiangkab.go.id/eproc4;
http://lpse.anambaskab.go.id/eproc4;2,429
http://lpse.kepulauanarukab.go.id/eproc4;1,116
https://lpse.mentawaikab.go.id/eproc4;1,846
http://lpse.sangihekab.go.id/eproc4;1,065
http://lpse.kepulauanselayarkab.go.id/eproc4;1,219
http://lpse.tanimbar.go.id/eproc4;1,139
http://182.23.40.66/eproc4;161
https://lpse.kerincikab.go.id/eproc4;1,461
http://lpse.ketapangkab.go.id/eproc4;2,049
http://lpse.klaten.go.id/eproc4;2,757
https://lpse.klungkungkab.go.id/eproc4;954
https://lpse.kolakakab.go.id/eproc4;2,371
https://lpse.kolakatimurkab.go.id/eproc4;998
https://lpse.kolutkab.go.id/eproc4;1,522
http://lpse.konawekab.go.id/eproc4;1,483
http://lpse.konkepkab.net/eproc4;
http://lpse.konaweselatankab.go.id/eproc4;2,482
http://lpse.konaweutarakab.go.id/eproc4;1,325
https://lpse.kotabarukab.go.id/eproc4;2,83
http://lpse.kotawaringinbaratkab.go.id/eproc4;3,325
http://lpse.kotimkab.go.id/eproc4;2,592
http://lpse.kuansing.go.id/eproc4;1,699
https://lpse.kuburayakab.go.id/eproc4;2,47
https://lpse.kuduskab.go.id/eproc4;3,213
http://lpse.kulonprogokab.go.id/eproc4;2,482
http://lpse.kuningankab.go.id/eproc4;3,088
http://lpse.kupangkab.go.id/eproc4;1,53
https://lpse.kutaibaratkab.go.id/eproc4;3,09
https://lpse.kukarkab.go.id/eproc4;9,047
http://lpse.kutaitimurkab.go.id/eproc4;3,798
https://lpse.labuhanbatuselatankab.go.id/eproc4;1,956
http://lpse.labuhanbatukab.go.id/eproc4;2,054
http://34.101.253.122/eproc4;
https://lpse.lahatkab.go.id/eproc4;2,448
http://lpse.lamandaukab.go.id/eproc4;1,574
http://lpse.lamongankab.go.id/eproc4;2,584
https://lpse.lampungbaratkab.go.id/eproc4;2,817
https://spse.lkpp.go.id/eproc4;320
https://lpse.lampungtengahkab.go.id/eproc4;5,664
https://lpse.lampungutarakab.go.id/eproc4;3,34
http://lpse.landakkab.go.id/eproc4;4,232
https://lpse.langkatkab.go.id/eproc4;3,001
http://lpse-lannyjayakab.id/eproc4;0
https://lpse.lebakkab.go.id/eproc4;4,233
https://lpse.lebongkab.go.id/eproc4;1,445
http://lpse.lembatakab.go.id/eproc4;992
http://lpse.limapuluhkotakab.go.id/eproc4;1,009
https://lpse.linggakab.go.id/eproc4;531
http://lpse.lombokbaratkab.go.id/eproc4;1,307
https://lpse.lomboktengahkab.go.id/eproc4;1,5
http://lpse.lomboktimurkab.go.id/eproc4;1,721
http://lpse.lombokutarakab.go.id/eproc4;377
http://lpse.lumajangkab.go.id/eproc4;2,016
http://lpse.luwukab.go.id/eproc4;1,374
https://lpse.luwutimurkab.go.id/eproc4;2,455
http://lpse.luwuutarakab.go.id/eproc4;2,202
https://lpse.madiunkab.go.id/eproc4;2,355
http://lpse.magelangkab.go.id/eproc4;2,413
https://lpse.magetan.go.id/eproc4;1,806
http://lpse.mahakamulukab.go.id/eproc4;715
http://lpse.majalengkakab.go.id/eproc4;4,636
https://lpse.majenekab.go.id/eproc4;863
http://lpse.malakakab.go.id/eproc4;764
https://lpse.malangkab.go.id/eproc4;5,666
http://lpse.malinau.go.id/eproc4;2,206
