id_lpse;nama_lpse;url;versi;id_repo;lengkap;status;id_wilayah;kategori
636;LPSE Polda Papua;http://lpse.papua.polri.go.id/eproc4;4.5u20220708;636;1;1;;3
691;LPSE Polda Riau;http://lpse.riau.polri.go.id/eproc4;4.5u20220216;691;1;1;;3
544;LPSE Polda Sulawesi Selatan;http://lpse.sulsel.polri.go.id/eproc4;;#N/A;1;1;;3
542;LPSE Polda Sulawesi Tengah;http://lpse.sulteng.polri.go.id/eproc4;4.4u20211027;542;1;1;;3
541;LPSE Polda Sulawesi Utara;http://lpse.sulut.polri.go.id/eproc4;4.4u20210330;541;1;1;;3
662;LPSE Polda Sumatera Barat;https://lpse.sumbar.polri.go.id/eproc4;4.5u20220804;662;1;1;;3
543;LPSE Polda Sumatera Selatan;http://lpse.sumsel.polri.go.id/eproc4;4.5u20220721;543;1;1;;3
546;LPSE Polda Sumatera Utara;http://lpse.sumut.polri.go.id/eproc4;4.5u20220721;546;1;1;;3
389;LPSE Politeknik Negeri Bandung;http://lpse.polban.ac.id/eproc4;4.3u20191009;389;1;0;;5
520;LPSE Politeknik Negeri Jember;http://lpse.polije.ac.id/eproc4;;520;1;1;;5
46;LPSE Politeknik Negeri Lampung;http://lpse.polinela.ac.id/eproc4;4.3u20191009;46;1;0;;5
442;LPSE Politeknik Negeri Malang;http://lpse.polinema.ac.id/eproc4;;442;1;1;;5
659;LPSE Politeknik Negeri Manado;http://lpse.polimdo.ac.id/eproc4;4.5u20220216;659;1;1;;5
356;LPSE Politeknik Negeri Sriwijaya;http://lpse.polsri.ac.id/eproc4;4.3u20191009;356;1;0;;5
455;LPSE Politeknik Negeri Ujung Pandang;https://lpse.poliupg.ac.id/eproc4;;455;1;1;;5
635;LPSE Politeknik Pertanian Negeri Pangkep;http://lpse.polipangkep.ac.id/eproc4;4.3u20191009;635;1;0;;5
106;LPSE Provinsi Aceh;https://lpse.acehprov.go.id/eproc4;4.4u20220601;106;1;1;;4
33;LPSE Provinsi Bali;https://lpse.baliprov.go.id/eproc4;4.4u20220324;33;1;1;;4
99;LPSE Provinsi Banten;https://lpse.bantenprov.go.id/eproc4;4.5u20220801;99;1;1;;4
267;LPSE Provinsi Bengkulu;https://lpse.bengkuluprov.go.id/eproc4;4.5u20220715;267;1;1;;4
13;LPSE Provinsi Daerah Istimewa Yogyakarta;https://lpse.jogjaprov.go.id/eproc4;4.4u20220601;13;1;1;;4
18;LPSE Provinsi Gorontalo;https://lpse.gorontaloprov.go.id/eproc4;4.4u20220324;18;1;1;;4
70;LPSE Provinsi Jambi;https://lpse.jambiprov.go.id/eproc4;4.5u20220721;70;0;1;;4
14;LPSE Provinsi Jawa Barat;https://lpse.jabarprov.go.id/eproc4;4.5u20220721;14;1;1;;4
42;LPSE Provinsi Jawa Tengah;https://lpse.jatengprov.go.id/eproc4;4.5u20220708;42;0;1;;4
15;LPSE Provinsi Jawa Timur;https://lpse.jatimprov.go.id/eproc4;4.5u20220804;15;1;1;;4
97;LPSE Provinsi Kalimantan Barat;https://lpse.kalbarprov.go.id/eproc4;4.4u20220525;97;1;1;;4
181;LPSE Provinsi Kalimantan Selatan;https://lpse.kalselprov.go.id/eproc4;4.5u20220801;181;1;1;;4
12;LPSE Provinsi Kalimantan Tengah;https://lpse.kalteng.go.id/eproc4;4.5u20220721;12;1;1;;4
35;LPSE Provinsi Kalimantan Timur;https://lpse.kaltimprov.go.id/eproc4;4.4u20220601;35;1;1;;4
716;LPSE Provinsi Kalimantan Utara;https://lpse.kaltaraprov.go.id/eproc4;4.5u20220804;716;1;1;;4
86;LPSE Provinsi Kepulauan Bangka Belitung;https://lpse.babelprov.go.id/eproc4;4.5u20220721;86;1;1;;4
22;LPSE Provinsi Kepulauan Riau;https://lpse.kepriprov.go.id/eproc4;4.5u20220620;22;1;1;;4
121;LPSE Provinsi Lampung;https://lpse.lampungprov.go.id/eproc4;4.5u20220628;121;1;1;;4
288;LPSE Provinsi Maluku;https://lpse.malukuprov.go.id/eproc4;4.5u20220628;288;1;1;;4
361;LPSE Provinsi Maluku Utara;https://lpse.malutprov.go.id/eproc4;4.5u20220804;361;1;1;;4
37;LPSE Provinsi Nusa Tenggara Barat;https://lpse.ntbprov.go.id/eproc4;4.4u20220601;37;1;1;;4
131;LPSE Provinsi Nusa Tenggara Timur;http://lpse.nttprov.go.id/eproc4;4.5u20220719;131;1;1;;4
41;LPSE Provinsi Papua;http://lpse.papua.go.id/eproc4;4.4u20220601;41;1;1;;4
