,Nama,NPWP
333,             PT. PILAR BANGUN KREASI          ,41.664.767.5-009.000
352,             PT. GHOSSAN PRATAMA          ,02.097.397.0-432.000
354,             PT. RAJAWALI LINTAS KREASI          ,02.466.973.1-028.000
357,             PT TERRA DRONE INDONESIA          ,76.063.219.0-424.000
359,             PT. CITRA IDE SELARAS          ,31.627.838.1-432.000
360,             PT. CITRA BHUMI INDONESIA          ,74.378.709.5-017.000
361,             PT. Geo Nusantara Teknologi          ,41.671.959.9-017.000
362,             PT. Andhu Adha Perkasa Techmil          ,03.235.949.9-009.000
363,             PT METERA KARYA GEMILANG          ,91.123.472.2-077.000
365,             PT. Chroma International          ,02.972.031.5-428.000
368,             CV. Hade Panin          ,02.790.515.7-428.000
371,             PT. Aero Terra Indonesia          ,66.336.993.2-424.000
377,             CV Bie Jav Engineering          ,83.016.985.0-518.000
389,             AULIA AHMADA PERSADA          ,81.252.896.6-086.000
391,             cv. kitajaya          ,94.778.646.3-101.000
393,             PT.TIGADOLOK CIPTA KARYA          ,94.549.521.6-009.000
395,             CV.MARGA JAYA          ,02.091.325.7-404.000
397,             PT. DAYA BOHO MANDIRI          ,01.328.947.5-004.000
400,             PT. MUTIARA KARYA WIJAYA          ,02.459.990.4-215.000
401,             CV.JURU BINA          ,02.945.539.1-101.000
402,             CV. Bumi Hijau          ,02.229.610.7-612.000
403,             CV. SARI BUNGA          ,90.559.428.9-101.000
404,             cv.amira pratama          ,70.188.876.0-216.000
406,             CV. CIPTA BANGUN PERSADA          ,71.342.369.7-203.000
407,             PT. DIRGANTARA SAMUDERA PERKASA          ,92.831.092.7-105.000
410,             PT STEVENINDO PERDANA INTERNATIONAL          ,01.320.807.9-011.000
415,             Hita Karya Teknik          ,92.237.417.8-435.000
416,             PT. Esence Sarana Medika          ,31.816.834.1-518.000
418,             CV. SARANA REZEKI MANDIRI          ,31.298.814.0-411.000
420,             Arion Indonesia          ,31.312.923.1-652.000
432,             PT. HARRISMA INFORMATIKA JAYA          ,01.601.103.3-038.000
435,             CV. SARANA INFORMATIKA NUSANTARA          ,02.867.640.1-005.000
436,             GLOBAL KARYA CIPTA          ,75.903.461.4-408.000
438,             CV. Permata Hati          ,31.225.201.8-615.000
439,             PT. KALINDA SUKSES ABADI          ,03.218.145.5-015.000
440,             CV.SENTANI JAYA          ,41.121.011.5-455.000
443,             CV Mitra Prima Daya          ,31.736.348.9-606.000
451,             PT. AMTEK SOLUSINDO          ,66.209.473.9-044.000
456,             PT. Sabasior Internasional          ,73.130.725.2-424.000
460,             PT. INTERPRIMA INDOCOM          ,01.356.007.3-073.000
463,             PT. MUSTIKA CIPTA PRIMA          ,96.845.945.3-074.000
471,             PT. LAPLASINDO PRATAMA          ,01.357.943.8-029.000
472,             PT KHARISMA MAKMUR JAYA          ,31.589.871.8-086.000
473,             PT. ACCURASCI PRIMA VALENT          ,83.689.065.7-404.000
474,             PT. Labalaba Citra Inovasi          ,02.648.871.8-411.000
476,             PT. Pradata Integra Media          ,31.711.190.4-032.000
477,             PT. JOGLOSEMAR MEDIA TECHNOLOGY          ,94.383.526.4-526.000
482,             CV. SURYA TATA CEMERLANG          ,02.666.500.0-622.000
486,             CV INDOTECH GLOBAL          ,41.386.988.4-452.000
487,             CV. MULIA BERKAHTAMA ABADI          ,41.330.064.1-402.000
489,             PT Omega Media Global          ,75.558.723.5-403.000
495,             PT. TRIKARYA ABADI PRIMA          ,02.100.494.0-007.000
496,             PT WOLU BANGUN MANDIRI          ,02.675.971.2-003.000
498,             CV. BAHTERA EFISIEN          ,84.815.641.0-428.000
499,             PT. INSISTEK MITRA USAHA          ,72.075.996.8-061.000
501,             PT. BEST POWER SINERGY          ,76.339.519.1-043.000
505,             PT. WIRA ARTA TELEMATIKA          ,02.062.955.6-032.000
511,             PT. ERA PILINDO SAMUDERA          ,85.130.529.2-452.000
517,             CV. BATUPENJURU MITRA NUSANTARA          ,96.861.408.1-642.000
518,             CV. Cahaya Kurnia Mandiri          ,31.269.411.0-418.000
520,             PT. ANDALAS PROSPEK INDONESIA          ,95.047.683.8-205.000
522,             BAYU FAS MERAPI          ,72.204.018.5-407.000
524,             PT Pentasada Surya Dinamika          ,01.100.957.8-034.000
526,             PT. ANUGRAH KARYA INDONESIA          ,01.952.349.7-432.001
527,             CV Berkah Tjipta Raharja          ,21.073.233.5-426.000
529,             PT. DINAMIKA MAHAKARYA PERKASA          ,86.248.169.4-403.000
530,             CV. INSAN KARYA MANDIRI          ,02.108.344.9-405.000
531,             SATU JUARA          ,94.856.097.4-435.000
532,             PT. SENTRABUMI PALAPA UTAMA          ,01.592.793.2-631.000
551,             CITRA UTAMA          ,31.345.338.3-421.000
555,             CV Mata Djarum Semesta          ,95.439.150.4-444.000
558,             Zastin Sukses Mandiri          ,968103358405000
559,             PT. FARID MITRA UTAMA          ,90.352.911.3-009.000
560,             PT. Patrakom Teknologi Indonesia          ,93.747.059.9-031.000
561,             CV. Delina          ,02.612.488.3-903.000
563,             CV VERTIC          ,80.664.667.5-524.000
568,             Ide Cemerlang          ,31.709.972.9-421.000
573,             CV DENA ALCO GEMILANG          ,94.745.105.0-436.000
574,             CV. BAROKAH UTAMA SAKTI          ,02.774.009.1-517.000
577,             pt sarasdewi annun pangestu          ,03.301.333.5-514.000
578,             CV MADANI UTAMA          ,31.575.608.0-443.000
581,             PT. GEMILANG TEKNIK PERSADA          ,74.352.018.1-061.000
590,             PT. ASTRIDO JAYA MOBILINDO          ,01.372.883.7-073.000
591,             PT. BIG BIRD PUSAKA          ,01.996.118.4-034.000
592,             PT.Dipo Internasional Pahala Otomotif          ,01.135.554.2-072.001
594,             PT PANCA PUTRA AUTOPRADO          ,93.255.105.4-008.000
595,             DELIMA MANDIRI          ,02.369.680.0-431.000
596,             PT. NEW TRIFINDO UTAMA          ,72.018.445.6-407.000
598,             PT. Lie Ling Indonesia          ,31.759.082.6-422.000
599,             PT.Restu Mahkota Karya          ,01.105.895.5-441.000
600,             Pacivica Wildan Hutama          ,31.242.231.4-045.000
602,             CV. MOERNI          ,02.649.170.4-009.000
604,             DCK Indonesia          ,02.613.634.1-009.000
611,             CV GLOBAL SAFETY          ,02.606.418.8-215.000
616,             PT. PUTRA ALAM RAYA          ,03.222.963.5-027.000
619,             PT. Raya Langit Sejahtera          ,31.401.138.8-027.000
620,             PT.SUN STAR MOTOR          ,01.444.680.1-609.001
634,             PT PATRA SOLUSI TEKNOLOGI          ,94.584.708.5-447.000
643,             PT. Gaharu Galangan Internasional          ,02.930.849.1-022.000
648,             PT. Alpha Centauri International          ,80.179.208.6-012.000
655,             PT. Prima Dua Jaya          ,02.286.337.7-077.000
658,             CV. DUA PUTRA PRIMA          ,02.616.917.7-017.000
659,             Sinergi Indoasia Pasifik          ,42.207.889.9-061.000
665,             PT. GUDANG TINTA TONER          ,72.908.659.5-026.000
670,             PT. GRIYA AKSEN PERSADA          ,96.527.134.9-448.000
671,             MITRA NUSANTARA          ,01.464.445.4-542.000
672,             PT Maina Nauli Propertindo          ,96.835.007.4-077.000
673,             Lamtiar Putra Mandiri          ,92.782.145.4-009.000
674,             PT. RUKMAYA TUNGGA KANAKA          ,31.473.522.6-411.000
675,             PT. INFOTECH CIPTA SOLUSI          ,96.613.383.7-017.000
679,             Advanced Technology Facility          ,31.375.209.9-429.000
682,             CV. Prima Perkasa Engineering          ,02.909.652.6-606.000
685,             PT. Mahakarya Inti Technology          ,75.102.069.4-022.000
690,             PT.GIFERA ODO TEHCNOLOGY          ,71.346.729.8-026.000
699,             PT ADM SAINTIFIK INDONESIA          ,94.812.612.3-063.000
702,             PT Global Perkasa Cipta Sarana          ,73.361.595.9-412.000
703,             PT. MITRA INFORMATIKA TEKNOLOGI          ,72.883.458.1-016.000
704,             CV. Nasa Komunikasi Khatulistiwa          ,03.277.141.2-016.000
706,             MILINDO KARYA RAHARJA          ,71.704.046.3-445.000
708,             PT HANDAL KARYA PERSADA          ,85.275.413.4-453.000
711,             PT. SABANNA KUMITA          ,02.689.187.9-104.000
713,             PT. SISCOM TECHNOLOGIES          ,02.534.380.7-411.000
715,             INTAV PRIMA SOLUSINDO          ,75.204.811.6-015.000
716,             CV. Rekan Kita          ,82.745.922.3-521.000
718,             CV. PUALAM PUTIH          ,01.917.182.6-201.000
720,             Anggrek Asri Jaya          ,93.629.858.7-542.000
721,             PT.Pegasus Nusantara Jaya Abadi          ,72.452.992.0-541.000
722,             PT SMART INTEGRATOR SOLUTION          ,02.667.345.9-033.000
723,             PT ARJUNA SOLUSI TEKNOLOGI          ,86.319.617.6-028.000
724,             PT.MYACICO GLOBAL INDONESIA          ,81.449.557.8-028.000
726,             PT. RAFINDO JAYA ABADI          ,72.633.478.2-028.000
727,             CV. INDO SUKSES MANDIRI          ,70.764.483.7-619.000
730,             PT. PERFORMA OPTIMA KOMPUTINDO          ,85.229.235.8-606.000
734,             CV. DUTA MITRA          ,03.341.226.3-626.000
737,             OMBUN CERIA          ,03.224.246.3-008.000
738,             PT.DIALI ELESTARI          ,03.101.489.7-023.000
739,             FORTUNA DIGITAL INDONESIA          ,95.024.930.0-067.000
740,             CV ASTA GINA KARYA          ,93.839.030.9-542.000
743,             CV. PANDAWA MANDIRI          ,21.151.704.0-401.000
745,             CV.GUPALA          ,02.204.315.2-511.000
748,             DEWI KARYA          ,90.782.603.6-736.000
749,             CV. MUSTIKA          ,84.515.624.9-453.000
750,             PT. Hami Baranina Mandiri          ,91.482.326.5-008.000
751,             PT DINAMIKA ABI BERKAH          ,41.234.408.7-453.000
755,             PT. AIRMAS PERKASA EKSPRES          ,70.345.630.1-044.000
756,             CV. PILAR CIPTA INFOTAMA          ,92.461.010.8-521.000
757,             ARIANA GEMILANG JAYA          ,92.708.625.6-643.000
761,             PT. CAHAYA KUSUMA PERDANA          ,66.580.761.6-024.000
765,             PT.MAZMUR KARYA JAYA          ,41.341.404.6-023.000
778,             PT. SURYA NUSA INDONESIA          ,86.506.952.0-614.000
779,             PT WIBAWA KARYA PERKASA          ,90.121.183.9-518.000
780,             cv. tunggak semi          ,01.245.223.1-529.000
787,             PT. PELITA PUTRA PRATAMA          ,95.458.788.7-108.000
788,             PT. Rahayu Lestari Bumi          ,84.324.012.8-003.000
789,             vertical indonesia perkasa          ,03.141.076.4-325.000
792,             PT. ANINDHIKA JAYA PRATAMA          ,84.140.570.7-101.000
793,             PT Karya Bahari Abadi          ,02.192.738.9-073.000
795,             CV. Tupa Jaya Tama          ,96.124.684.0-009.000
800,             Putra Andalan Mahaka          ,92.628.340.9-447.000
804,             PT. KASUMA AGUNG WICAKSANA          ,01.395.176.9-005.000
808,             PT. CYNTIA RAJADOLOK          ,03.290.867.5-004.000
809,             TALENTA GELORA SERAFIM          ,02.186.983.9-045.000
815,             PT. CDUA GRAHA KONSTRUKSI          ,72.313.978.8-956.000
816,             CV. Mutiara Ratu          ,02.812.700.9-322.000
817,             CV. PUPPU PAPUA JAYA          ,92.089.781.6-952.000
818,             CV. SOSOR LANGGE          ,84.434.496.0-412.000
819,             PT. DEXATAMA NIAGA LABTEKINDO          ,03.043.398.1-404.000
820,             CV. TRIASA MANDIRI          ,31.663.419.5-941.000
824,             CV. VANESSA UTAMA          ,03.198.995.7-008.000
825,             PT. CAKRA PARAMITA UTAMA          ,72.352.371.8-001.000
826,             PT. KYA GRAHA          ,31.184.604.2-629.000
827,             PACURAYA ARUNG SEJAHTERA          ,92.390.102.9-043.000
830,             CV. Wilis Fhylosopia          ,31.471.147.4-429.000
831,             PT JIMBOS TEKNOLOGI INDONESIA          ,95.889.102.0-017.000
833,             CV. Cekas          ,02.910.566.5-732.000
834,             Yarra Infotech          ,41.524.957.2-432.000
835,             PT. HANNA INTEGRASI SOLUSI          ,73.254.451.5-508.000
836,             DELTA          ,02.884.357.1-626.000
840,             PT. JAYA KONSTRUKSI INDONESIA          ,06.913.955.2-008.000
842,             PT. AVENDRA INDONESIA          ,31.725.776.4-002.000
843,             cv. ravzah mandiri          ,73.353.170.1-941.000
845,             PT. Tunggul Jaya          ,31.360.594.1-531.000
846,             CV. INDAH KREASI MANDIRI          ,82.817.252.8-001.000
847,             CV. ASRON ADHIKARI MANDIRI          ,86.165.728.6-445.000
848,             Yudhistira Eka Sakti (YEKSA)          ,96.943.713.6-012.000
850,             CV. ARMADA GAHARI PUTERA          ,83.805.928.5-609.000
853,             PT.ABYL KARYA DYATAMA          ,93.812.436.9-453.000
855,             PT. Reon Pratama Turbo          ,85.247.905.4-071.000
859,             CV HASTA RAYA          ,91.384.377.7-524.000
860,             NENGGALA CAKRA DEWA          ,76.827.879.8-421.000
862,             CV CAHAYA MAS SENTOSA          ,85.186.958.6-428.000
864,             PT. RABIN MARITIM AVIASI          ,83.006.556.1-044.000
865,             PT. PELITA AIR SERVICE          ,01.001.638.4-051.000
866,             PT Aviastar Mandiri          ,01.999.570.3-007.000
868,             CV DUINA KHOMIS JAYA          ,82.200.958.5-323.000
869,             PT. Prabu Wahana International          ,71.811.504.1-071.000
870,             Aline Aviasi Indonesia          ,94.772.468.8-003.000
872,             PT. EXTRA MALIK MANGGALA          ,72.966.885.5-451.000
873,             PT RIMBUN ABADI AVIASI          ,84.925.364.6-422.000
875,             PT. Adibahtera Hidayat          ,01.321.989.4-009.000
876,             PT. ARKANANTA PUTRA PERSADA          ,75.616.816.7-003.000
877,             CV. MITRA ABADI          ,71.933.143.1-412.000
878,             CIPTA KARYA TEKNIKA          ,02.404.976.9-503.000
881,             PT. TAMBUN JAYA PERSADA          ,86.359.439.6-009.000
882,             CV. KARYA DUTA PERSADA          ,31.665.834.3-435.000
884,             PT. TRIHARJA JASA UTAMA          ,02.155.664.2-411.000
885,             PT. RAHANDIKA NUSA PERKASA          ,83.847.701.6-401.000
886,             CV.WONPIS JAYA MANDIRI          ,90.362.409.6-023.000
887,             pt.baha nauli abadi          ,81.379.983.0-127.000
888,             CV PUTRA TUBAGUS CORP          ,83.722.408.8-401.000
889,             CV. ZALIKA BERSAUDARA          ,31.679.358.7-222.000
890,             PT BANDHA JAYA PERKASA          ,81.815.069.0-445.000
892,             CV. KARYA DHELON          ,02.014.699.9-814.000
893,             CV. TAMSI KARYA SUKSES          ,94.418.305.2-432.000
894,             PT. ROLAND GANDA PUTRA ABADI          ,02.998.783.1-006.000
896,             CV.BATU PAYUNG MANDIRI          ,03.315.891.6-732.000
897,             CV. BELINDO          ,02.929.545.8-407.000
898,             PT. REVORMA MANDIRI UTAMA          ,94.682.849.8-003.000
899,             CV. TRIDAYA GABEI MANDIRI          ,91.201.334.9-009.000
902,             PT.Humason Jaya          ,01.313.340.0-015.000
903,             CV. TABU TABU          ,84.371.027.8-412.000
905,             CV.ZIHAN PUTRA SEJATI          ,02.319.405.3-009.000
907,             HUTABATUDUA          ,02.110.018.5-009.000
909,             PT. AMIRA MITRA PERSADA          ,85.589.408.5-453.000
911,             CV METRO INDO KARYA          ,71.924.123.4-412.000
915,             PT.ALFA KREASI UTAMA          ,72.475.916.2-009.000
916,             INTI KARYA UTAMA          ,83.050.620.0-503.000
917,             cv.bangun nagatama          ,75.018.505.0-445.000
918,             PT. KARYACIPTA ARTA MANDIRI          ,94.495.520.2-447.000
919,             CV. SURYA TUNGGAL          ,66.336.529.4-331.000
920,             CV. MARSADA PUTRA          ,31.740.999.3-005.000
921,             PT. Guna Mandiri Selaras          ,86.786.136.1-009.000
923,             JEEGEES BONA JAYA          ,95.395.774.3-412.000
928,             PT.BENHIL MORA PRATAMA          ,81.375.806.7-015.000
930,             CV. RAYI MITRA ABADI          ,83.823.194.2-448.000
931,             cv.duta persada indoguna          ,82.881.714.8-435.000
