,Nama,NPWP
1131,             PT. BERKAT ALEGA          ,02.188.574.4-036.000
1134,             CV. TETA INDONESIA          ,93.576.203.9-529.000
1135,             PT. PADJAJARAN TUNGGAL PERKASA          ,94.654.900.3-418.000
1137,             CV. Arsindo Sejahtera Mandiri          ,74.896.405.3-424.000
1138,             PILAR INSPIRASI CV          ,85.802.618.0-411.000
1144,             PT. MANGISI MAKMUR SENTOSA          ,01.394.456.4-011.000
1160,             CV. HARAPAN SEJAHTERA          ,03.332.418.7-213.000
1161,             cv. syalsabila mitra sejahtera          ,94.949.706.9-726.000
1166,             PT.PANCA PRIMA MAJU BERSAMA          ,03.272.159.9-063.000
1168,             Moga Buana Jaya          ,85.137.894.3-215.000
1172,             PT ODITO SANJAYA ASIA          ,82.428.393.1-211.000
1179,             CV ALIA KUSUMA PERDANA          ,02.125.736.5-024.000
1183,             RAJASA SUMBER REJEKI          ,86.991.935.7-002.000
1184,             PT. Internasional Asia Pasifik Sinergi          ,94.891.108.6-048.000
1210,             PT. Bintangalam Samuderalestari          ,02.005.850.9-074.000
1211,             PT. Indo Triton Nasional          ,83.838.161.4-066.000
1221,             PT.PALAWIRA JAYA LESTARI          ,01.825.791.5-026.000
1222,             PT. Teknocorp Indonesia Makmur          ,76.742.963.2-012.000
1223,             GEMILANG PRAHESTY PRATAMA          ,75.286.921.4-015.000
1230,             Sembilan Sembilan Sepadan          ,31.469.173.4-036.000
1231,             PT. PINDAD (PERSERO)          ,01.060.008.8-051.000
1233,             PT. Arghaniaga Pancatunggal          ,01.640.204.2-013.000
1234,             PT.Pasundan Jaya          ,02.504.666.5-042.000
1242,             PT. Merpati Training Center          ,75.159.942.4-643.000
1243,             TRI BANGUN SEMESTA          ,66.492.472.7-003.000
1246,             SETITI MAKMUR SEJAHTERA          ,92.399.364.6-412.000
1247,             Koloni Semut Pratama          ,90.231.569.6-424.000
1249,             CV. Klambinan Klambi Apik          ,03.348.005.4-008.000
1250,             GARUDA MAHAMERU          ,73.383.803.1-406.000
1251,             PT NAGA PUTRA SATRIA          ,72.546.045.5-201.000
1254,             CV. ADELA BUDI KARYA          ,90.500.073.3-444.000
1256,             PT. INDOFASHION CIPTAKREASI BUSANA          ,02.354.720.1-009.000
1261,             CV ANDRA JAYA          ,90.442.945.3-002.000
1262,             CV. Arsy Tama Inovasi          ,83.862.691.9-453.000
1265,             CV. PUTRA SADESTA          ,80.055.902.3-401.000
1266,             CV Salam Amanah          ,76.516.372.0-606.000
1267,             PT. INTI LOGISTINDO UTAMA          ,71.898.213.5-426.000
1268,             PT. DWI AGUNG MAKMUR          ,94.315.433.6-034.000
1269,             CV SHEINA USAHATAMA          ,71.093.552.9-429.000
1272,             CV. DIAN ANUGERAH          ,02.866.645.1-815.000
1273,             Cv enggal jaya promotion          ,94.308.386.5-516.000
1277,             CV. Hijrah Corporation          ,71.992.422.7-609.000
1278,             PT. TEBAR USAHA BERKAT          ,02.109.661.5-063.000
1280,             CV LESTARI MANUNGGAL PRATAMA          ,94.158.427.8-516.000
1281,             CV. Vendorin Produksi Indonesia          ,85.840.292.8-423.000
1283,             PT. ELKA KENCANA INDAH          ,85.063.073.2-427.000
1287,             CV. HERZANA REZEKI          ,76.154.279.4-101.000
1290,             PT. PRODUTA PROMOSINDO          ,02.699.290.9-014.000
1291,             cv. sandcape pentu abadi          ,92.296.417.6-824.000
1310,             PT. Sugi Jaya Teknologi          ,02.740.001.9-031.000
1322,             CV. DIANA SARI          ,01.673.886.6-008.000
1327,             PT. BONI CIPTA          ,03.079.410.1-009.000
1329,             YESALMA ARTHA JAYA          ,82.214.736.9-009.000
1330,             PT. Tiomin Anugrah Mulia          ,21.119.429.5-045.000
1332,             cv.pelita hidup          ,01.985.791.1-508.000
1334,             CV. MURGUNG INTERNUSA          ,02.730.501.0-434.000
1336,             CV.ARTA BORNEO          ,31.569.468.7-701.000
1338,             PT. PRAWIRA JAYA KAHUTAMA          ,31.784.838.0-606.000
1340,             CV. BUDI BIG CONTRACTOR          ,02.095.538.1-402.000
1341,             PT. FIRHAM PUTRA PRATAMA          ,73.040.337.5-027.000
1342,             CV.SINAR CAHAYA MUDA          ,02.561.521.2-009.000
1344,             CV.HANYTECH JAYA MAKMUR          ,82.035.108.8-418.000
1345,             PT. MEURAH INSEUN JAYA ABADI          ,72.866.253.7-101.000
1346,             CV.NASHOMOSHE ENGINEERING          ,72.616.128.4-412.000
1347,             CV.MEWAH GEMILANG          ,02.056.523.0-005.000
1348,             CV. MONTAPOLA          ,03.302.618.8-101.000
1349,             PT. ALTA BANGUN MANDIRI          ,31.254.380.4-043.000
1351,             PT MANDALAWANGI LESTARI          ,01.661.906.6-003.000
1352,             CV. BERLIAN JAYA          ,31.540.780.9-442.000
1353,             SENTRA MELINDO          ,01.967.616.2-009.000
1354,             PT. ALRISTA TERAMULYA          ,01.662.821.6-005.000
1364,             PT. Murgung Nusa Parama          ,82.236.873.4-403.000
1372,             DINGGA KARYA MANDIRI          ,94.237.221.0-601.000
1373,             CV. TRIPUTRA SEJAHTERA          ,93.891.033.8-435.000
1377,             CV. NIRWANA DUADUA          ,92.697.188.8-615.000
1382,             CV. Pendawa Inti Data          ,02.486.287.2-404.000
1384,             CV LINE          ,84.209.007.8-652.000
1385,             PT. AZKHA SURYA MANDIRI          ,90.468.384.4-085.000
1390,             CV. ECHO CROSS TECHNOLOGY          ,03.335.190.9-401.000
1391,             PT. IP NETWORK SOLUSINDO          ,21.009.448.8-028.000
1413,             cv.samudera fiber          ,83.134.137.5-202.000
1418,             Karya Delka Maritim          ,01.127.843.9-123.000
1419,             PT.SAMUDERA PURANABILE ABADI          ,01.458.879.2-823.000
1420,             PT. BIMA PUTRA SAMUDRA          ,72.459.488.2-629.000
1428,             PT. TESCO INDOMARITIM          ,01.540.765.3-073.000
1438,             CV. PERSADA SOLUSINDO          ,02.631.335.3-101.000
1442,             NASAA KREASI UTAMA          ,85.282.250.1-016.000
1443,             PT. BIMA ANDALAS PERMAI          ,03.163.731.7-024.000
1449,             PT. Swara Gangsing          ,02.250.537.4-003.000
1450,             PT Armindo Manikam Perkasa          ,94.331.647.1-086.000
1455,             PT AGRAPANA NUGRAHA KATARA          ,31.387.081.8-432.000
1460,             PT.TOTAL ENERGI INDONESIA          ,82.455.216.0-009.000
1465,             PT Putra Samudra Mas          ,31.478.195.6-027.000
1470,             PT. MULTI TEKNIK MARITIM          ,93.909.945.3-018.000
1475,             PT. MARINA GLOBAL INTERNUSA          ,03.338.026.2-435.000
1476,             CV. DETRILA KARYA          ,84.203.129.6-001.000
1483,             PT. Palindo Marine          ,02.537.950.4-217.000
1501,             PT. Lifelong Learning          ,01.920.659.8-011.000
1504,             CV. SUMBER BARU FURNITURE          ,02.104.690.9-543.000
1505,             RAFKA KARYATAMA REMINDO          ,93.208.544.2-447.000
1507,             PT. MISALY SUJOOD KABIRA          ,90.647.389.7-042.000
1510,             PT.ramani Indonesia          ,03.022.244.8-902.400
1518,             CV. RAFLINDO          ,03.060.687.5-112.000
1519,             CV. ASIVA RAYA          ,03.060.665.1-112.000
1523,             PT Sandpasifik Jaya Abadi          ,66.682.711.8-432.000
1525,             PT.HOBASHITA FUJITAMA          ,03.295.671.6-005.000
1529,             CV. DEARINDO HUTAMA PERSADA          ,03.079.243.6-009.000
1532,             CV. SANTO KARYA MANDIRI          ,02.125.675.5-008.000
1533,             PT. KURNIA INDAH DWIAJI          ,94.133.792.5-435.000
1534,             PT. HUMBAHAS PERMAI          ,03.015.316.7-009.000
1535,             PT. Putra Rato Mahkota          ,01.858.270.0-034.000
1538,             PT. FACHRY LAVORO          ,03.096.599.0-008.000
1539,             PT. ELITA PUTRI REJEKI          ,01.624.619.1-008.000
1540,             POLARIS JAYA BERSAMA          ,81.940.768.5-445.000
1541,             PT. BAHTERA USAHA KONSTRUKSI          ,75.622.503.3-001.000
1542,             ARSITA ABADI          ,83.517.340.2-444.000
1553,             PT. IQRA VISINDO TEKNOLOGI          ,02.145.846.8-015.000
1555,             PT. Linkboats Indonesia Raya          ,90.558.058.5-804.000
1556,             CV. BINTANG MULTIMEDIA INDONESIA          ,21.056.373.0-407.000
1562,             PT. TIRTA WIJAYA KHARISMA          ,85.633.208.5-613.000
1580,             CV. PUTRI MAHAKAM KALISAMARINDO          ,31.637.588.0-086.000
1584,             CV. SURYA AGUNG PERKASA          ,31.270.153.5-614.000
1589,             CV.DAHLIANA PERKASA          ,86.907.230.6-117.000
1611,             CV. MEDIA SOLUSI          ,70.759.412.3-528.000
1614,             PROVICES INDONESIA          ,02.672.153.0-011.000
1615,             CV. ART TECHNO GRAPHIC          ,82.508.112.8-423.000
1620,             kayarayabahagia          ,75.634.128.5-013.000
1622,             MENOREH MAKMUR          ,02.778.064.2-544.000
1625,             CV. RINO MUSTIKA          ,01.961.009.6-518.000
1627,             CV PUSPITA BERDIKARI          ,93.299.964.2-401.000
1628,             CV. KARYA AMALIA          ,84.290.773.5-444.000
1631,             PT.DENKINO SARANA MANDIRI          ,31.688.282.8-408.000
1633,             PT SOLUSI MEDIA GROUP          ,75.087.770.6-307.000
1635,             CV ZAMRUD INTI RAJAWALI          ,84.313.269.7-502.000
1637,             PT. SARANA INDO RAYA          ,03.293.307.9-016.000
1640,             PT. TERATAI WIDJAJA          ,01.112.588.7-403.000
1644,             PT.JAYA KOMUNIKASI INDONESIA          ,90.281.982.0-061.000
1646,             CV. REKA KARYA MANDIRI          ,31.536.186.5-428.000
1647,             PT. KEDUNG NUSA BUANA          ,70.958.857.8-424.000
1649,             PT NEW SOLOMON TECHNOLOGY          ,81.337.985.6-015.000
1651,             Arofrasa Victorindo          ,01.814.145.7-015.000
1653,             PT NUSANTARA COMPNET INTEGRATOR          ,01.770.820.7-073.000
1655,             PT APLIKA DATA NUSANTARA          ,93.394.390.4-014.000
1656,             PT TRANS TELEKOMUNIKASI INDONESIA          ,93.406.272.0-064.000
1657,             CV.ESA ANUGERAH ABADI          ,81.143.737.5-401.000
1669,             cv.sipultak          ,03.281.317.2-008.000
1670,             CV. BINA ADI SELARAS          ,02.267.728.0-627.000
1673,             PT. ARIRA SANGGIGI RAYA          ,31.442.317.9-034.000
1679,             CV. INDO GLOBAL PRATAMA          ,02.824.737.7-604.000
1682,             CV. BINTANG MUDA PERKASA          ,31.737.080.7-214.000
1685,             CV ERDIYAH JAYA          ,90.682.131.9-223.000
1686,             PT System Energi Nusantara          ,02.877.450.3-011.000
1687,             CV. KUSNUR MITRA KARYA          ,71.892.713.0-805.000
1691,             Reksa Tarnindo Oliva          ,85.428.387.6-432.000
1701,             Wahana Intikarya Nusantara          ,85.423.490.3-013.000
1703,             PT.KABAH ABADI RAYA          ,81.675.693.6-006.000
1707,             PT. Mentari Anugerah Prima          ,01.955.754.5-039.000
1710,             HIRAINDO JAYA          ,70.878.075.4-005.000
1716,             CV. INKARYA KHARISMA          ,03.215.370.2-009.000
1724,             PT. Nusa Cipta Solusi          ,03.250.430.0-044.000
1727,             PT. ABBA TEKNOLOGI INDONESIA          ,84.839.727.9-086.000
1729,             ishana kokka          ,82.299.968.6-543.000
1730,             PT FERUNI TEHNIK INTEGRASI          ,76.705.490.1-432.000
1732,             PT PRIMATAMA UNGGUL MAKMUR          ,01.858.160.3-085.000
1747,             cv.bukit kupu kupu          ,31.464.778.5-421.000
1751,             CV. PISANG AGUNG          ,02.545.150.1-003.000
1765,             CV. LULUHON REJEKI          ,03.276.975.4-008.000
1766,             PT. VARIA USAHA FABRIKASI          ,72.548.516.3-612.000
1773,             PT.WAHANA DINAMIKA CAKRA          ,02.885.687.0-034.000
1775,             CV TIYAS PUTRA MANDIRI          ,02.223.592.3-653.000
1776,             PT. Electronic Data Interchange Indonesia          ,01.743.927.4-046.000
1777,             CV. EFACHENA KARUNIA ABADI          ,83.680.358.5-304.000
1780,             PT. PALAPA NETWORK NUSANTARA          ,02.699.196.8-014.000
1783,             PT. Usaha Adi Sanggoro          ,02.331.984.1-434.000
1784,             PT Jala Lintas Media          ,21.081.397.8-403.000
1787,             PT.SUKSES BERDIKARI NUSANTARA          ,80.994.526.4-034.000
1790,             CV.BATANG MAS          ,83.854.463.3-821.000
1791,             CV. Adhi Mulia          ,91.436.504.4-061.000
1792,             CV. INDRA MEGA KARYA          ,86.712.196.4-013.000
1809,             CV. AQSA          ,90.581.511.4-704.000
1815,             PT. BHAKTI OETAMA SARANA SEJAHTERA          ,82.022.012.7-061.000
1820,             CV.ANUGERAH SEJAHTERA          ,02.742.556.0-417.000
1821,             CV Wijaya Kusuma          ,85.889.624.4-447.000
1823,             CV. PUTRA ADI PERKASA          ,86.361.892.2-216.000
1829,             PT FAJAR HIDUP KREASI          ,80.376.574.2-018.000
1831,             CV. KARYA RAHAYU MANDIRI          ,90.296.346.1-016.000
1832,             CV. CHRISTOPER PUTRA MANDIRI          ,70.742.333.1-432.000
1833,             CV. RIZALINDO SUCCESS          ,03.238.171.7-615.000
1835,             CV. MITRA BAKTI          ,84.587.483.3-502.000
1841,             PT. SARI JAYA MAJU          ,84.878.023.5-008.000
1843,             PIDU'A SEPUH          ,74.093.005.2-429.000
1846,             Vertika Konveksi          ,86.649.817.3-434.000
1849,             CV. MEKAR JAYA PERSADA          ,02.772.245.3-515.000
1851,             CV.TAMAN AKSARA JAYA          ,01.337.633.0-008.000
1853,             CV. SINAR METRO          ,02.310.855.8-024.000
1856,             CV. JASINDO PRATAMA          ,71.196.240.7-005.000
1860,             CV. ZASKIYA EBERTHA          ,66.213.535.0-001.000
1868,             CV. TUSIMA VENDOR ABADI          ,91.611.116.4-447.000
1869,             PT. DWI ORGA PERKASA          ,82.367.183.9-225.000
1870,             izzata          ,31.329.425.8-424.000
1872,             PT. Jaya Karya Pasundan          ,86.036.278.9-013.000
1873,             PT.TIDAR JAYA PERKASA          ,84.151.304.7-503.000
1875,             CV. JAVA NUSANTARA          ,91.121.275.1-444.000
1877,             CV. DAFFA PUTRA          ,76.612.139.6-001.000
1881,             CV. KHARISMANTARA          ,01.859.272.5-201.000
1893,             PT. MUSTIKA JATI ABADI          ,84.100.162.1-516.000
1895,             CV.HAURA PERMATA          ,81.069.988.4-002.000
1896,             PT. ORINDO CIPTA SARANA          ,76.702.324.5-028.000
1898,             PT. Panca Karya Unggul Abadi          ,72.373.044.6-436.000
1899,             PT. Cipta Mega Kencana          ,31.722.437.6-423.000
1900,             PT.BUANA INDO KONTRUKSI          ,85.804.499.3-416.000
1901,             CV. BONI JAYA UNGGUL          ,74.518.146.1-045.000
1902,             PT. DWITAMA SENTOSA          ,03.125.301.6-044.000
1905,             PT.SOKKA GLOBAL MANDIRI          ,02.185.639.8-063.000
1906,             PT. Hobashita Taketama          ,02.333.420.4-007.000
1907,             MANGUN JAYA UTAMA          ,66.685.258.7-009.000
1909,             CV. Arcitif Jaya Makmur          ,03.274.301.5-503.000
1916,             PT PANJI USAHA MULIA          ,31.439.738.1-423.000
1921,             PT.GLOBAL SENTRAL NIAGA          ,86.868.035.6-034.000
1922,             PT.ARYS SINAR PERKASA          ,86.328.220.8-034.000
1923,             DELTA ABADI          ,01.888.894.1-001.000
1927,"             PT. ASTRA GRAPHIA, Tbk          ",01.307.261.6-054.000
1928,             PT. AURA ANUGERAH ALAM          ,76.285.884.3-036.000
1930,             BIAN PERDANA          ,70.627.194.7-001.000
1931,             PT. Starvindo Asia Utama          ,71.862.912.4-005.000
1932,             CV. ARUMA          ,80.511.151.5-603.000
1933,             PT. PERDANA JATIPUTRA          ,01.361.030.8-073.000
1934,             PT. ANEKA SAKTI BAKTI (ASABA)          ,01.306.942.2-073.000
1937,             CV. TRI DEWI MEDIKA JAYA          ,74.970.973.9-504.000
1938,             CV. ASIA INTI RAYA          ,01.983.076.9-048.000
1946,             PT. KARYA JAYA MANDIRI MEGAH PRAKOSO          ,31.703.651.5-403.000
1953,             PT. PANCA PUTRA SUNDIR          ,86.752.826.7-203.000
1954,             PT. Karya Zirang Utama          ,01.446.081.0-511.000
1955,             PT BUMEN REDJA ABADI          ,01.246.864.1-033.001
1956,             PT. RESTU IBU PUSAKA          ,01.139.382.4-431.000
1959,             PT. AGUNG SOLUSI TRANS          ,03.324.085.4-021.000
1960,             PT. SANGGAR KARYA          ,31.503.008.0-422.000
1961,             PT. Dayaguna Motor Indonesia          ,01.983.069.4-046.000
1962,             PT.Tamaro Jaya Indonesia          ,73.655.694.5-451.000
1986,             CV.BERIN INFORMATIKA          ,75.990.094.7-615.000
1990,             CV. MURNI MULIA ABADI          ,85.652.736.1-527.000
1994,             CV. SINAR AGUNG          ,74.787.606.8-501.000
1995,             CV.ABDI KARYA BUZER          ,91.279.706.5-005.000
1997,             CV.LIRA RAJA UTAMA          ,02.995.376.7-005.000
1999,             TRICO INDONESIA          ,75.054.883.6-001.000
2003,             CV. EMMASINDO          ,31.263.189.8-075.000
2008,             Cv.mutiara macsindo          ,76.062.972.5-805.000
2012,             PT. Karya Abadi Solusindo          ,76.636.913.6-029.000
2013,             CV. THAHIRO SAMA PUTRA          ,82.591.243.9-023.000
2014,             PT.ROTE ANUGERAH KREASI          ,31.479.467.8-432.000
2016,             Hassco Indo Konsul          ,72.829.932.2-009.000
2021,             CV MULYA LESTARI          ,02.778.542.7-423.000
2025,             CV. PUTRA KATANAP          ,80.956.231.7-001.000
2027,             CV. DATAMA ROULI JAYA          ,73.666.789.0-412.000
2029,             PT. AVISHA MULTINDO PRATAMA          ,90.907.092.2-014.000
2032,             PT. KELINCI MAS PAJAJARAN          ,86.144.415.6-404.000
2033,             PT. Renis Rimba Jaya          ,72.257.264.1-071.000
2036,             PT DOS RAP RUMATA          ,90.526.979.1-008.000
2051,             PT.NIDIA JAYA UTAMA          ,02.125.662.3-007.000
2052,             CV. Kezia Graceindo Utama          ,03.264.889.1-722.000
2059,             PT. MULSE CITRA NUSA          ,81.546.783.2-005.000
2061,             KENCANA AGUNG SEJAHTERA          ,75.650.254.8-416.000
2064,             PT ZIDAN TUNGGAL PERKASA          ,85.550.511.1-004.000
2065,             PT. ALYA SINAR PRATAMA          ,74.767.511.4-001.000
2067,             CV. RIDHO PUTRA MANDIRI          ,03.222.921.3-027.000
2079,             Alam Raya Pratama          ,03.299.986.4-801.000
2083,             PT.WIRATAMA INTI NUSANTARA          ,02.988.988.8-037.000
2084,             PT. TUAKARTA DAYA CIPTA          ,72.569.402.0-009.000
2085,             PT. PANORAMA BUKIT BIMA          ,01.596.586.6-034.000
2086,             PT. ALTEKMES SIATOLU JAYA          ,02.791.608.9-005.000
2092,             CV. TAKASHITA HOBASHI          ,02.182.447.9-003.000
2094,             CV. MELATI PANJA          ,02.748.730.5-009.000
2097,             CV. INDAH MEGAH UTAMA          ,03.341.306.3-034.000
2100,             PT. LASIMA UNGGUL PERSADA          ,02.900.973.5-008.000
2101,             PT. MEGAH SENTOSA ABADI          ,66.580.832.5-024.000
2102,             PT. TREEY BERKAT ANUGRAH          ,75.091.212.3-008.000
2103,             PT. YAMA JAYA          ,03.268.128.0-008.000
2108,             PT HARUMAN MAJU JAYA          ,74.517.760.0-453.000
2115,             CV. Altraco          ,01.588.420.8-821.000
2121,             cv jimass karya          ,01.664.164.9-621.000
2122,             Matrico Triguna          ,03.314.809.9-001.000
2124,             PT. PRADA CIPTA ARECO          ,01.305.444.0-036.000
2128,             PT. SMARTHUB TECHNOLOGIES          ,02.261.493.7-014.000
2129,             CV. MITRA JAYA COMPUTINDO          ,75.229.664.0-061.000
2133,             PT BAYU INTI PELANGI          ,85.055.435.3-015.000
2144,             PT. AMMVARI SOLUSI          ,02.906.901.0-017.000
2160,             PT NUGROHO BAJA PERKASA          ,91.076.663.3-435.000
2162,             PT. PRAJA GHUPTA UTAMA          ,01.936.710.1-804.000
2166,             PT SEA TECH INDONESIA          ,02.825.775.6-606.000
2168,             PT ROYAL ADVANCED FIBER          ,02.823.776.6-418.000
2169,             PT. Citra Cita Talenta          ,76.422.465.5-447.000
2170,             Sumber Sarana Bahari          ,84.637.809.9-832.000
2171,             PT Gemilang Cakrawala Persada          ,31.540.940.9-015.000
2173,             CV. GLOBAL MULTI SARANA          ,02.379.592.5-039.000
2174,             PT. Inti Dharma Global Indo          ,03.211.120.5-014.000
2179,             PT. DUTATEKNOLAYAN ABADITAMA          ,01.737.319.2-075.000
2184,             CV. MULTI USAHA JAYA          ,75.828.743.7-432.000
2185,             PT. Satu Lima Tiga Abadi          ,03.098.844.8-027.000
2187,             Vinusa Teknindo Abadi          ,90.192.474.6-015.000
2189,             cv. sean karya          ,70.047.861.3-922.000
2191,             PT ADHIMATRATAMA          ,21.092.467.6-063.000
2194,             PT. BIMA TRIPUTRA SEJAHTERA          ,75.502.543.4-015.000
2195,             PT. ADUMA BHAKTI          ,02.605.438.7-002.000
2197,             CV. BEULE SABA          ,02.027.349.6-102.000
2200,             CV. SEMPURNA JAYA INDONESIA          ,84.133.822.1-001.000
2201,             CV.BRILIAN KRISDATAMA          ,02.835.436.3-001.000
2204,             CV.AGRO.CITRA          ,83.068.530.1-432.000
2207,             PT TOPAS JAYA MANDIRI          ,72.716.321.4-444.000
2208,             CV. MAJAPAHIT          ,02.910.439.5-732.000
2212,             PT. PUTRA NIMALA ABADI JAYA          ,03.098.845.5-027.000
2213,             PT. RADITA AUTOPRIMA          ,01.771.328.0-061.000
2215,             Eka Sapta Trijaya          ,80.973.897.4-027.000
2224,             PT YASA AYU MANDIRI          ,02.616.148.9-023.000
2227,             PT. KRISBOW INDONESIA          ,31.662.316.4-086.000
2229,             CV.MULTI KARUNIA          ,72.145.628.3-514.000
2233,             PT. Bumindo Sakti          ,31.662.993.0-642.000
2235,             PT. EURINDO TEKNIK MOTOR          ,70.420.019.5-215.000
2236,             PT. SELAMAT MULIA          ,31.822.253.6-215.000
2237,             PT. ADILUHUNG SARANASEGARA INDONESIA          ,01.546.102.3-641.000
2240,             PT. BESKLINDO MITRA UTAMA          ,21.054.289.0-013.000
2243,             PT. Gemini Gemilang          ,01.312.338.5-048.000
2247,             PT. Damar Anugrah Jaya          ,01.696.374.6-028.000
2254,             PT SUMBER ANEKA ENERGI          ,02.726.923.2-432.000
2255,             PT DEWA RUCI AGUNG          ,01.108.262.5-613.000
2256,             PT INDUSTRI KAPAL INDONESIA (Persero)          ,01.000.477.8-823.001
2264,             PT.GLOBAL EXPAN BATAM          ,70.576.517.0-215.000
2265,             PT. INTER PULAU SENTOSA          ,02.187.740.2-043.000
2266,             PT. KALIYA JAYA NUSANTARA          ,83.357.457.7-009.000
2268,             Pahala Harapan Lestari          ,01.238.889.8-308.000
2280,             PT KHARISMA ELOK SEJAHTERA          ,31.709.285.6-015.000
2281,             PT. Duta Mutiara Citra          ,02.744.404.1-413.000
2282,             CV. LINGKAR RAJAWALI NUSANTARA          ,86.302.292.7-513.000
2283,             CV.INOVASI GLOBAL          ,83.551.215.3-085.000
2284,             CV. TEKAD SUKSES USAHA          ,80.952.175.0-501.000
2285,             CV. DELTA KHARISMA          ,31.660.206.9-214.000
2286,             BANGUN PRIMA INDONESIA          ,81.152.828.0-061.000
2288,             CV.MAHARANI          ,31.700.336.6-731.000
2289,             PT. KANCALAWAS DAMAR SAKTI          ,90.652.903.7-061.000
2290,             CV. Wana bakti Nusantara          ,31.658.148.7-411.000
2291,             PT INTISAR RIZKY UTAMA          ,90.698.465.3-005.000
2295,             PT. TRIKREASINDO MANDIRI SENTOSA          ,73.002.884.2-044.000
2297,             sungai Mas Sanjaya          ,80.432.504.1-432.000
2299,             CV. HEBRING INTERTEK          ,85.633.328.1-005.000
2300,             SURYA GEMILANG NUSANTARA          ,03.048.675.7-019.000
2303,             CV. TRIPRIMA INDONESIA          ,85.715.512.1-009.000
2305,             PT SARI MAS INDONESIA          ,75.971.707.7-113.000
2306,             PT. NURUL PERSADA GEMILANG          ,75.008.864.3-008.000
2307,             CV. TAMITA PRATAMA          ,90.253.959.2-027.000
2314,             CV.EUKARISTOS          ,90.185.565.0-941.000
2316,             CV. SEBONG MAKMUR JAYA          ,03.246.482.8-214.000
2319,             PT GRAHA ANUGERAH BERJAYA          ,90.821.246.7-043.000
2342,             SAMUDRA BERKAH ABADI          ,74.843.846.2-045.000
2343,             PT.MADURA BANGUN RAYA          ,02.715.888.0-608.000
2345,             Sistem Fisik Siber          ,86.380.049.6-801.000
2347,             PT.AQUILA JAYA MARINA          ,85.505.589.3-042.000
2349,             PT. Dok Duasatu Nusantara          ,01.938.947.7-045.000
2355,             Mitra Hanaya Sejati          ,85.198.084.7-017.000
2357,             PT MENARA CAKRA MANDIRI          ,76.230.626.4-085.000
2358,             Kemenangan          ,01.304.040.7-073.000
2360,             MAJU PATRIA NUSANTARA          ,84.173.964.2-024.000
2362,             CV. CIPTA BARAKATI          ,81.460.501.0-816.000
2367,             PT BORNEO SUKSES MAKMUR          ,31.491.824.4-036.000
2370,             CITRA INSTRUMENTS          ,83.142.108.6-014.000
2375,             PT. Dwi Jaya Agape Cemerlang          ,76.699.849.6-615.000
2381,             PRIMA GUNA REKSA          ,71.909.193.6-435.000
2382,             PT LOT GLOBAL INTEGRASI          ,03.272.763.8-012.000
2387,             BINTANG CAKRA KREASI          ,80.781.884.4-034.000
2389,             PT NIAGA OPTIMA ARTHA          ,82.983.488.6-043.000
2391,             PT. GOVAL Teknik Samudra          ,90.349.800.4-027.000
2394,             CV.Sedaya Handali Pratama          ,72.069.316.7-086.000
2396,             PT. WINCATH TUNAS MANDIRI          ,74.965.009.9-021.000
2398,             PT. Indo Artha mandiri          ,03.190.088.9-077.000
2401,             PT. GAYA HIDUP MASA KINI          ,02.505.355.4-022.000
2402,             CV. GALA KONVEKSI INDONESIA          ,71.379.563.1-216.000
2403,             CV. RAFINDO PERKASA          ,03.017.052.6-085.000
2404,             CV. JERKYS SEKAWAN          ,72.613.128.7-822.000
2406,             CV.Tunjung Putro          ,01.812.394.3-518.000
2407,             PT. DYNAMIC CREATIVISINDO WORK          ,31.288.696.3-403.000
2410,             PT.CUT KHARISMA PERMATAN          ,82.572.586.4-404.000
2411,             CV.Cherishindo Multi Karya          ,02.768.962.9-512.000
2414,             PT. Just Jait Indonesia          ,02.567.504.2-428.000
2416,             cv. panda jaya          ,80.558.226.9-444.000
2422,             CV. Zora          ,02.773.138.9-015.000
2423,             NATA BUANA          ,31.584.642.8-516.000
2426,             CV. MAS TEXTILE          ,31.400.533.1-002.000
2427,             CV. EBEN HAEZER          ,72.309.008.0-407.000
2431,             CV. Batu Beling          ,81.672.616.0-619.000
2432,             CV. WARNA PERDANA          ,31.460.155.0-619.000
2434,             PT. BINTANG PUTRA ALEXANDER          ,31.200.833.7-451.000
2435,             CITRA INDAH PERDANA          ,01.397.717.8-021.000
2443,             PT. BINTANG INTI RAYA          ,02.346.559.4-048.000
2444,             PT GOLDEN SOLUTION INDONESIA          ,02.809.007.4-023.000
2446,             CV. NUSACIPTA RUKUN MAKMUR          ,02.885.578.1-026.000
2448,             CV Bintang Briliantama          ,72.198.415.1-542.000
2450,             PABRIKMESIN.COM          ,72.783.235.4-617.000
2452,             PT. KARYA CAHAYA CEMERLANG INDONESIA          ,31.329.157.7-048.000
2466,             CV. ZULTAN DEWATA          ,31.696.603.5-424.000
2467,             PT Multi Kreasi Digital Indonesia          ,31.384.002.7-071.000
2470,             PT Maha Karya Dua Sahabat          ,74.210.190.0-403.000
2473,             PT Envika Rekateknik          ,21.027.173.0-424.000
2475,             CV.SATRIA NUGRAHUTAMA          ,02.117.713.4-218.000
2486,             PT. KADITA BERSERI          ,01.930.627.3-085.000
2488,             Kita Teknologi Indonesia          ,71.280.903.7-028.000
2494,             PT BAROKAH UTAMA PERKASA          ,76.432.045.3-517.000
2495,             cv.bagaskara          ,03.211.744.2-201.000
